source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0007275,multicellular organism development,1.9366037723191942e-22,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4690,959,352,20972,0.3670490093847758,0.07505330490405117,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0048856,anatomical structure development,2.205352154414579e-22,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5948,959,418,20972,0.4358706986444213,0.07027572293207801,query_1,['GO:0032502']
GO:BP,GO:0042221,response to chemical,4.92024001081856e-22,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3863,959,305,20972,0.3180396246089677,0.07895418068858401,query_1,['GO:0050896']
GO:BP,GO:0070887,cellular response to chemical stimulus,5.266317975930415e-22,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2199,959,206,20972,0.21480709071949947,0.09367894497498863,query_1,"['GO:0042221', 'GO:0051716']"
GO:BP,GO:0016477,cell migration,5.603565427957012e-22,True,"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]",1532,959,162,20972,0.1689259645464025,0.10574412532637076,query_1,['GO:0048870']
GO:BP,GO:0051239,regulation of multicellular organismal process,6.931379174079881e-22,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2923,959,250,20972,0.26068821689259647,0.08552856654122477,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:0048522,positive regulation of cellular process,8.0558927858058415e-22,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5739,959,405,20972,0.42231491136600624,0.0705697856769472,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0048731,system development,8.0558927858058415e-22,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",4023,959,313,20972,0.32638164754953075,0.07780263484961472,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0009653,anatomical structure morphogenesis,9.5896405175884e-22,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",2699,959,236,20972,0.24608967674661106,0.08743979251574657,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0042127,regulation of cell population proliferation,1.6185303701001893e-21,True,"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]",1639,959,168,20972,0.17518248175182483,0.10250152532031727,query_1,"['GO:0008283', 'GO:0050794']"
GO:BP,GO:1901700,response to oxygen-containing compound,1.8674966218787583e-20,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1632,959,165,20972,0.17205422314911367,0.10110294117647059,query_1,['GO:0042221']
GO:BP,GO:0050794,regulation of cellular process,6.420837610551421e-20,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11962,959,689,20972,0.7184567257559958,0.05759906370172212,query_1,"['GO:0009987', 'GO:0050789']"
GO:BP,GO:0007166,cell surface receptor signaling pathway,1.249979444143136e-19,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2834,959,238,20972,0.24817518248175183,0.0839802399435427,query_1,['GO:0007165']
GO:BP,GO:0048585,negative regulation of response to stimulus,3.066967199305905e-19,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",1693,959,166,20972,0.17309697601668406,0.0980507974010632,query_1,"['GO:0048519', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0048513,animal organ development,4.904123799885777e-19,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",3018,959,247,20972,0.2575599582898853,0.08184227965540093,query_1,['GO:0048856']
GO:BP,GO:0009719,response to endogenous stimulus,7.012402996176803e-19,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]",1467,959,150,20972,0.15641293013555788,0.10224948875255624,query_1,['GO:0050896']
GO:BP,GO:0040011,locomotion,7.454293460335934e-19,True,"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]",1236,959,134,20972,0.1397288842544317,0.10841423948220065,query_1,['GO:0008150']
GO:BP,GO:0050793,regulation of developmental process,1.0392968172931516e-18,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",2431,959,211,20972,0.22002085505735142,0.08679555738379267,query_1,"['GO:0032502', 'GO:0050789']"
GO:BP,GO:0048870,cell motility,1.1275796519818991e-18,True,"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]",1794,959,171,20972,0.17831074035453598,0.09531772575250837,query_1,['GO:0009987']
GO:BP,GO:0007155,cell adhesion,1.6758278931960602e-18,True,"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]",1512,959,152,20972,0.15849843587069865,0.10052910052910052,query_1,['GO:0009987']
GO:BP,GO:0071495,cellular response to endogenous stimulus,5.908164278577418e-18,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:mah]",1238,959,132,20972,0.13764337851929093,0.10662358642972536,query_1,['GO:0009719']
GO:BP,GO:0009888,tissue development,6.118033012779725e-18,True,"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]",2014,959,183,20972,0.1908237747653806,0.09086395233366434,query_1,['GO:0048856']
GO:BP,GO:0030334,regulation of cell migration,4.6721215263443484e-17,True,"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]",944,959,109,20972,0.11366006256517205,0.11546610169491525,query_1,"['GO:0016477', 'GO:2000145']"
GO:BP,GO:0040012,regulation of locomotion,6.859990047381106e-17,True,"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]",1046,959,116,20972,0.12095933263816476,0.11089866156787763,query_1,"['GO:0040011', 'GO:0050789']"
GO:BP,GO:0141124,intracellular signaling cassette,1.3191769745911803e-16,True,"""An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways."" [GOC:ha, GOC:pg]",1866,959,170,20972,0.1772679874869656,0.09110396570203644,query_1,['GO:0035556']
GO:BP,GO:0035295,tube development,2.7754322540579057e-16,True,"""The process whose specific outcome is the progression of a tube over time, from its initial formation to a mature structure. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues including lung and trachea, kidney, the mammary gland, the vascular system and the gastrointestinal and urinary-genital tracts."" [PMID:12526790]",1094,959,118,20972,0.12304483837330553,0.10786106032906764,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0007167,enzyme-linked receptor protein signaling pathway,4.396383260732136e-16,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]",988,959,110,20972,0.11470281543274244,0.11133603238866396,query_1,['GO:0007166']
GO:BP,GO:0051240,positive regulation of multicellular organismal process,4.576208568322126e-16,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1639,959,154,20972,0.16058394160583941,0.09395973154362416,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:BP,GO:2000145,regulation of cell motility,5.264640642194953e-16,True,"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]",1005,959,111,20972,0.11574556830031282,0.11044776119402985,query_1,"['GO:0040012', 'GO:0048870', 'GO:0050794']"
GO:BP,GO:0030154,cell differentiation,9.228715510844187e-16,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4443,959,315,20972,0.3284671532846715,0.07089804186360567,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,9.34139286447943e-16,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4444,959,315,20972,0.3284671532846715,0.07088208820882089,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0001503,ossification,1.125495809792668e-15,True,"""The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance."" [GOC:mtg_mpo, PMID:17572649]",424,959,65,20972,0.06777893639207508,0.15330188679245282,query_1,['GO:0032501']
GO:BP,GO:0035556,intracellular signal transduction,1.9924831216972076e-15,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2963,959,232,20972,0.24191866527632952,0.07829902126223422,query_1,['GO:0007165']
GO:BP,GO:0048519,negative regulation of biological process,3.336118576474141e-15,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",5753,959,381,20972,0.397288842544317,0.06622631670432817,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0001944,vasculature development,3.58691109091785e-15,True,"""The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."" [GOC:dph, UBERON:0002409]",758,959,91,20972,0.0948905109489051,0.12005277044854881,query_1,"['GO:0048731', 'GO:0072359']"
GO:BP,GO:0009968,negative regulation of signal transduction,3.602359168808219e-15,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction."" [GOC:sm]",1341,959,132,20972,0.13764337851929093,0.09843400447427293,query_1,"['GO:0007165', 'GO:0009966', 'GO:0010648', 'GO:0023057', 'GO:0048585']"
GO:BP,GO:0072359,circulatory system development,3.736412175285658e-15,True,"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",1135,959,118,20972,0.12304483837330553,0.10396475770925111,query_1,['GO:0048731']
GO:BP,GO:0030198,extracellular matrix organization,6.816862001336672e-15,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an extracellular matrix."" [GOC:mah]",307,959,53,20972,0.05526590198123045,0.17263843648208468,query_1,"['GO:0043062', 'GO:0045229']"
GO:BP,GO:0001568,blood vessel development,6.9546126065793744e-15,True,"""The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood."" [GOC:hjd, UBERON:0001981]",727,959,88,20972,0.09176225234619395,0.12104539202200826,query_1,"['GO:0001944', 'GO:0048856']"
GO:BP,GO:0043062,extracellular structure organization,7.594641310370633e-15,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of structures in the space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane, and also covers the host cell environment outside an intracellular parasite."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",308,959,53,20972,0.05526590198123045,0.17207792207792208,query_1,['GO:0016043']
GO:BP,GO:0045229,external encapsulating structure organization,8.61785242825711e-15,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",309,959,53,20972,0.05526590198123045,0.1715210355987055,query_1,['GO:0016043']
GO:BP,GO:0023057,negative regulation of signaling,2.108155710231669e-14,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",1449,959,137,20972,0.14285714285714285,0.0945479641131815,query_1,"['GO:0023051', 'GO:0023052', 'GO:0048519']"
GO:BP,GO:0035239,tube morphogenesis,2.108155710231669e-14,True,"""The process in which the anatomical structures of a tube are generated and organized. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system."" [GOC:bf, PMID:14624839]",877,959,98,20972,0.10218978102189781,0.11174458380843785,query_1,"['GO:0009653', 'GO:0035295']"
GO:BP,GO:1901701,cellular response to oxygen-containing compound,2.2706328308607766e-14,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1194,959,120,20972,0.1251303441084463,0.10050251256281408,query_1,"['GO:0070887', 'GO:1901700']"
GO:BP,GO:0010648,negative regulation of cell communication,4.808254261970769e-14,True,"""Any process that decreases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1449,959,136,20972,0.14181438998957246,0.09385783298826778,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048523']"
GO:BP,GO:0009605,response to external stimulus,5.136365071822845e-14,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2427,959,196,20972,0.20437956204379562,0.080758137618459,query_1,['GO:0050896']
GO:BP,GO:1902531,regulation of intracellular signal transduction,5.4137372302666975e-14,True,"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",1945,959,167,20972,0.17413972888425444,0.08586118251928021,query_1,"['GO:0009966', 'GO:0035556']"
GO:BP,GO:0009887,animal organ morphogenesis,1.0892278050105871e-13,True,"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]",1000,959,105,20972,0.10948905109489052,0.105,query_1,"['GO:0009653', 'GO:0048513']"
GO:BP,GO:0072001,renal system development,1.5387804758442454e-13,True,"""The process whose specific outcome is the progression of the renal system over time, from its formation to the mature structure. The renal system maintains fluid balance and contributes to electrolyte balance, acid/base balance, and disposal of nitrogenous waste products. In humans, the renal system comprises a pair of kidneys, a pair of ureters, urinary bladder, urethra, sphincter muscle and associated blood vessels."" [GOC:mtg_kidney_jan10, GOC:yaf, PMID:6996269]",331,959,53,20972,0.05526590198123045,0.16012084592145015,query_1,['GO:0048731']
GO:BP,GO:0048646,anatomical structure formation involved in morphogenesis,2.551603035779888e-13,True,"""The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph, GOC:jid, GOC:tb]",1190,959,117,20972,0.12200208550573514,0.09831932773109243,query_1,"['GO:0009653', 'GO:0032502']"
GO:BP,GO:0048514,blood vessel morphogenesis,4.0485730444951257e-13,True,"""The process in which the anatomical structures of blood vessels are generated and organized. The blood vessel is the vasculature carrying blood."" [GOC:jid]",632,959,77,20972,0.08029197080291971,0.12183544303797468,query_1,"['GO:0001568', 'GO:0035239']"
GO:BP,GO:0001822,kidney development,6.200451528755163e-13,True,"""The process whose specific outcome is the progression of the kidney over time, from its formation to the mature structure. The kidney is an organ that filters the blood and/or excretes the end products of body metabolism in the form of urine."" [GOC:dph, GOC:mtg_kidney_jan10, ISBN:0124020607, ISBN:0721662544]",320,959,51,20972,0.053180396246089674,0.159375,query_1,"['GO:0048513', 'GO:0072001']"
GO:BP,GO:0006950,response to stress,7.095166532762602e-13,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3984,959,279,20972,0.2909280500521376,0.07003012048192771,query_1,['GO:0050896']
GO:BP,GO:0051094,positive regulation of developmental process,9.75373312388506e-13,True,"""Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]",1305,959,123,20972,0.12825860271115747,0.09425287356321839,query_1,"['GO:0032502', 'GO:0048518', 'GO:0050793']"
GO:BP,GO:0043067,regulation of programmed cell death,1.3754290135285692e-12,True,"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",1467,959,133,20972,0.1386861313868613,0.09066121336059986,query_1,"['GO:0012501', 'GO:0050794']"
GO:BP,GO:0042981,regulation of apoptotic process,1.8665671626586702e-12,True,"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",1426,959,130,20972,0.13555787278415016,0.091164095371669,query_1,"['GO:0006915', 'GO:0043067']"
GO:BP,GO:0051241,negative regulation of multicellular organismal process,1.9803496207756624e-12,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1091,959,108,20972,0.11261730969760167,0.09899175068744272,query_1,"['GO:0032501', 'GO:0048519', 'GO:0051239']"
GO:BP,GO:0048584,positive regulation of response to stimulus,2.496943887160433e-12,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2320,959,184,20972,0.19186652763295098,0.07931034482758621,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0045595,regulation of cell differentiation,3.3770938203500723e-12,True,"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]",1549,959,137,20972,0.14285714285714285,0.08844415752098128,query_1,"['GO:0030154', 'GO:0050793', 'GO:0050794']"
GO:BP,GO:0061448,connective tissue development,3.937217246391946e-12,True,"""The progression of a connective tissue over time, from its formation to the mature structure."" [GOC:BHF]",291,959,47,20972,0.049009384775808136,0.16151202749140894,query_1,['GO:0009888']
GO:BP,GO:0008219,cell death,4.200562928281478e-12,True,"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]",1962,959,162,20972,0.1689259645464025,0.08256880733944955,query_1,['GO:0009987']
GO:BP,GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,6.738177420413111e-12,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]",641,959,75,20972,0.07820646506777894,0.11700468018720749,query_1,['GO:0007167']
GO:BP,GO:2000026,regulation of multicellular organismal development,7.665856132270821e-12,True,"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",1392,959,126,20972,0.13138686131386862,0.09051724137931035,query_1,"['GO:0007275', 'GO:0050793', 'GO:0051239']"
GO:BP,GO:0048523,negative regulation of cellular process,7.677582352460206e-12,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5510,959,354,20972,0.3691345151199166,0.06424682395644284,query_1,"['GO:0009987', 'GO:0048519', 'GO:0050794']"
